,title,price,year,link,brand,type,age
116,magna 16'' bike,25,,https://cnj.craigslist.org/bik/d/trenton-magna-16-bike/7871888546.html,missing,missing,
117,26'' roadmaster granite peak  women's bike,50,,https://cnj.craigslist.org/bik/d/trenton-26-roadmaster-granite-peak/7901489379.html,missing,missing,
118,k2 super sweet mountain bike 24'',75,,https://cnj.craigslist.org/bik/d/trenton-k2-super-sweet-mountain-bike-24/7874393482.html,missing,mountain,
119,magna great divide 20''bicycle,39,,https://cnj.craigslist.org/bik/d/trenton-magna-great-divide-20bicycle/7872364275.html,missing,missing,
120,magna great divide 20''bicycle,39,,https://cnj.craigslist.org/bik/d/trenton-magna-great-divide-20bicycle/7872365361.html,missing,missing,
121,20'' haro bikes,40,,https://cnj.craigslist.org/bik/d/trenton-20-haro-bikes/7871853992.html,missing,missing,
122,26''huffy echo valley bike,39,,https://cnj.craigslist.org/bik/d/trenton-26huffy-echo-valley-bike/7875145986.html,missing,missing,
123,yellow bike,59,,https://cnj.craigslist.org/bik/d/trenton-yellow-bike/7872362867.html,missing,missing,
124,mongoose bike,29,,https://cnj.craigslist.org/bik/d/trenton-mongoose-bike/7901490016.html,missing,missing,
125,e-strapz ludicrous mk2 72- volt e bike 60ah ul battery,2400,,https://cnj.craigslist.org/bik/d/littlestown-strapz-ludicrous-mk2-72/7905257914.html,missing,missing,
126,18 speed huffy great shape  $150,150,,https://cnj.craigslist.org/bik/d/union-18-speed-huffy-great-shape-150/7904570389.html,missing,missing,
127,gopowerbike gocity,900,,https://cnj.craigslist.org/bik/d/carteret-gopowerbike-gocity/7894690990.html,missing,missing,
128,raleigh sport comfort bike,100,,https://cnj.craigslist.org/bik/d/toms-river-raleigh-sport-comfort-bike/7909252629.html,raleigh,comfort,
129,aventon aventure 3 step-through e-bike like new!!,1499,,https://cnj.craigslist.org/bik/d/waretown-aventon-aventure-step-through/7894085459.html,missing,missing,
130,"reduced little dutch 12"" balance bike in mint",40,,https://cnj.craigslist.org/bik/d/cranbury-reduced-little-dutch-12/7903530664.html,missing,missing,
131,tern vektron s10 folding e-bike,2500,,https://cnj.craigslist.org/bik/d/kendall-park-tern-vektron-s10-folding/7901073570.html,missing,folding,
132,older sears exercise bike,35,,https://cnj.craigslist.org/bik/d/new-egypt-older-sears-exercise-bike/7900715494.html,missing,missing,
133,huffy savannah bicycle,70,,https://cnj.craigslist.org/bik/d/new-egypt-huffy-savannah-bicycle/7900717123.html,missing,missing,
134,peugeot bordeaux 12 speed race bike,650,,https://cnj.craigslist.org/bik/d/monroe-township-peugeot-bordeaux-12/7902376179.html,missing,missing,
135,raleigh m-30 mtb retro mod rebuild,350,,https://cnj.craigslist.org/bik/d/woodbridge-raleigh-30-mtb-retro-mod/7879964484.html,raleigh,missing,
136,specialized  rockhopper a1 comp fs,450,,https://cnj.craigslist.org/bik/d/monroe-township-specialized-rockhopper/7879964920.html,specialized,missing,
137,bicycle 10-speed,229,,https://cnj.craigslist.org/bik/d/sewaren-bicycle-10-speed/7890092683.html,missing,missing,
138,black ops 29 inch bike big ripper,450,,https://cnj.craigslist.org/bik/d/tennent-black-ops-29-inch-bike-big/7893074350.html,missing,missing,
139,2 bikes 26” wheels.,40,,https://cnj.craigslist.org/bik/d/holmdel-bikes-26-wheels/7906256048.html,missing,missing,
140,kids bicycles 20” wheels,25,,https://cnj.craigslist.org/bik/d/holmdel-kids-bicycles-20-wheels/7906256869.html,missing,kids,
141,mountain full suspension bike 26”,90,,https://cnj.craigslist.org/bik/d/holmdel-mountain-full-suspension-bike-26/7884584656.html,missing,mountain,
142,schwinn apple krate stingray 5 speed  bicycle all original,3200,,https://cnj.craigslist.org/bik/d/linden-schwinn-apple-krate-stingray/7897794123.html,schwinn,missing,
143,bicycle harley davidson sportster roadmaster 20” vintage 1994 rare bra,1575,1994.0,https://cnj.craigslist.org/bik/d/linden-bicycle-harley-davidson/7882477064.html,missing,missing,32.0
